,age,gender,race,date,city,state,cause,body_camera
409,59,Male,White,25/04/2020,Hiram,ME,Gunshot,False
410,24,Male,White,24/04/2020,Napa,CA,Gunshot,False
411,28,Male,Unknown race,24/04/2020,Lenoir,NC,Gunshot,True
412,53,Male,Unknown race,24/04/2020,Denton,TX,Gunshot,False
413,67,Male,Unknown race,24/04/2020,Adel,GA,Gunshot,False
414,42,Male,Hispanic,24/04/2020,Austin,TX,Gunshot,True
415,42,Male,White,23/04/2020,Paterson,NJ,Gunshot,False
416,34,Male,Unknown race,23/04/2020,North Las Vegas,NV,Gunshot,False
418,31,Male,Unknown race,22/04/2020,Springfield,CO,Gunshot,False
420,40,Male,Black,22/04/2020,Florence,SC,Gunshot,False
421,Unknown,Male,Unknown race,22/04/2020,Los Angeles,CA,Gunshot,False
422,35,Male,Black,22/04/2020,Missouri City,TX,Gunshot,False
423,24,Male,Black,21/04/2020,Las Vegas,NV,Gunshot,True
424,27,Male,Hispanic,21/04/2020,Houston,TX,Gunshot,False
427,28,Male,Black,19/04/2020,Colorado Springs,CO,Gunshot,False
430,40,Male,White,19/04/2020,Henderson,NV,Gunshot,True
432,24,Male,White,18/04/2020,Mankato,MN,Gunshot,False
433,33,Male,Black,18/04/2020,San Leandro,CA,Gunshot,False
434,37,Male,Unknown race,18/04/2020,Raytown,MO,Gunshot,False
436,30,Male,Black,17/04/2020,Daphne,AL,Gunshot,False
437,43,Male,White,17/04/2020,Anderson,SC,Gunshot,False
438,31,Male,Black,16/04/2020,Lubbock,TX,Gunshot,False
439,48,Male,White,16/04/2020,Philipsburg,MT,Gunshot,False
440,24,Male,Hispanic,15/04/2020,Richmond,CA,Gunshot,True
441,28,Male,Unknown race,15/04/2020,Jefferson City,MO,Gunshot,False
442,33,Male,Unknown race,15/04/2020,Hubert,NC,Gunshot,False
443,39,Male,White,15/04/2020,Blair,NE,Gunshot,False
444,39,Male,Black,15/04/2020,Augusta,GA,Gunshot,False
446,58,Male,White,15/04/2020,Waukesha,WI,Gunshot,False
447,31,Male,White,14/04/2020,Old Town,ME,Gunshot,False
448,36,Male,Hispanic,13/04/2020,Bakersfield,CA,Gunshot,False
449,Unknown,Male,Unknown race,13/04/2020,Jackson,MS,Gunshot,False
450,35,Male,White,12/04/2020,Daly City,CA,Gunshot,False
452,48,Male,Unknown race,12/04/2020,Ritzville,WA,Gunshot,False
453,56,Male,Unknown race,12/04/2020,Pompano Beach,FL,Gunshot,False
455,29,Female,White,11/04/2020,Jacksonville,FL,Gunshot,False
456,51,Male,White,11/04/2020,West Terre Haute,IN,Gunshot,False
458,Unknown,Male,Unknown race,11/04/2020,Oatfield,OR,Gunshot,False
459,31,Male,Black,10/04/2020,Pottstown,PA,Gunshot,False
461,Unknown,Male,White,10/04/2020,Klamath Falls,OR,Gunshot,False
462,33,Male,White,10/04/2020,Philadelphia,PA,Gunshot,False
465,19,Male,Black,09/04/2020,Colonial Heights,VA,Gunshot,False
466,36,Male,White,09/04/2020,Winchester,TN,Gunshot,False
467,39,Male,White,09/04/2020,Brandon,CO,Gunshot,False
469,17,Male,Black,08/04/2020,Columbia,SC,Gunshot,False
470,59,Male,White,08/04/2020,Salisbury,MD,Gunshot,False
472,28,Male,White,07/04/2020,Shreveport,LA,Gunshot,False
473,31,Male,White,07/04/2020,El Mirage,AZ,Gunshot,False
474,33,Male,Black,07/04/2020,Knoxville,TN,Gunshot,False
475,37,Male,Unknown race,07/04/2020,La Grande,WA,Gunshot,False
476,44,Male,Black,07/04/2020,Refugio,TX,Gunshot,False
477,38,Male,White,07/04/2020,Clinton,IA,Gunshot,True
478,54,Male,White,06/04/2020,Florence,AL,Gunshot,False
480,29,Male,Hispanic,06/04/2020,North Miami Beach,FL,Gunshot,False
481,32,Male,White,05/04/2020,Milford,MA,Gunshot,False
482,44,Male,White,05/04/2020,Ada,OK,Gunshot,False
483,59,Male,Unknown race,05/04/2020,Hialeah,FL,Gunshot,False
484,62,Male,White,05/04/2020,Manchester,NH,Gunshot,False
485,67,Male,White,05/04/2020,Melbourne,FL,Gunshot,False
486,Unknown,Male,Unknown race,04/04/2020,Nutter Fort,WV,Gunshot,False
487,27,Male,Hispanic,03/04/2020,Manchester,CT,Gunshot,False
489,30,Male,Hispanic,02/04/2020,Mesa,AZ,Gunshot,False
490,40,Male,White,02/04/2020,Lincoln City,OR,Gunshot,False
491,66,Male,Black,02/04/2020,Swartz,LA,Gunshot,False
492,69,Male,White,02/04/2020,Irving,TX,Gunshot,False
493,19,Male,White,01/04/2020,Columbus,MS,Gunshot,False
494,Unknown,Male,Unknown race,01/04/2020,Burkesville,KY,Gunshot,False
497,29,Male,White,31/03/2020,Asheville,NC,Gunshot,False
498,29,Male,Unknown race,31/03/2020,Hinton,VA,Gunshot,False
499,37,Male,Hispanic,30/03/2020,Pomona,CA,Gunshot,False
500,38,Male,Black,30/03/2020,Baltimore,MD,Gunshot,True
501,44,Male,White,30/03/2020,Louisville,KY,Gunshot,True
502,52,Male,Hispanic,30/03/2020,Albuquerque,NM,Gunshot,False
503,22,Male,White,29/03/2020,Phoenix,AZ,Gunshot,False
504,46,Male,White,28/03/2020,Caldwell,ID,Gunshot,False
505,49,Male,Unknown race,28/03/2020,Gray,KY,Gunshot,False
506,26,Male,Black,27/03/2020,Newburgh,NY,Gunshot,True
